#TAXONOMY	ID	no rank	superkingdom	clade	phylum	class	order	family	genus	species	strain	no rank2	clade2	clade3	subspecies	no rank3	species group	subphylum
NZ_BMIV01000083.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus acridae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMRF01000099.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_FNWF01000003.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacydonensis	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BNBF01000096.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces capoamus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BNBF01000074.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces capoamus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMRF01000125.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_QPLJ01000097.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia formosa	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_SATR01000077.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio ouci	NA	NA	NA	NA	NA	NA	NA	NA	
NC_006085.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes KPA171202	NA	NA	NA	NA	NA	NA	NA	
NZ_BHXD01000040.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_MUYK01000052.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter colymbi	NA	Erythrobacter/Porphyrobacter group	NA	NA	NA	NA	NA	NA	
NZ_BNBF01000107.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces capoamus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BNBF01000111.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces capoamus	NA	NA	NA	NA	NA	NA	NA	NA	
